-DOCSTART- -X- -X- -X-
baked O B-FOOD O
Montgomery's B-FOOD I-FOOD O
Cheddar. I-FOOD I-FOOD O
Most O O O
of O O O
the O O O
sweets O O O
are O O O
likable, O O O
particularly O O O
the O O O
cube O O O
of O O O
sticky B-DISH B-DISH O
toffee I-DISH I-DISH O
pudding I-DISH I-DISH O
and O O O
the O O O
wedge O O O
of O O O
Bakewell B-DISH B-DISH O
tart I-DISH I-DISH O
with O O O
a O O O
layer O O O
of O O O
orange B-FOOD B-FOOD O
marmalade I-FOOD I-FOOD O
between O O O
the O O O
frangipane B-FOOD B-FOOD O
and O O O
the O O O
pastry B-FOOD B-FOOD O
shell. I-FOOD I-FOOD O
The O O O
only O O O
real O O O
hazard O O O
on O O O
the O O O
dessert O O O
menu O O O
is O O O
the O O O
barely O O O
congealed O O O
Pimm's B-DISH B-DISH O
jelly I-DISH I-DISH O
at O O O
which O O O
somebody O O O
has O O O
hurled O O O
fistfuls O O O
of O O O
chopped O O O
cucumbers B-FOOD B-FOOD O
and O O O
strawberries. B-FOOD B-FOOD O
It's O O O
like O O O
a O O O
stray O O O
plate O O O
of O O O
salad B-FOOD B-FOOD O
that O O O
you O O O
might O O O
pick O O O
up O O O
at O O O
a O O O
party O O O
before O O O
you O O O
realized O O O
that O O O
somebody O O O
had O O O
dumped O O O
the O O O
warm O O O
dregs O O O
of O O O
a O O O
drink O O O
into O O O
it. O O O
The O O O
servers O O O
seemed O O O
eager O O O
to O O O
oblige, O O O
but O O O
gave O O O
the O O O
impression O O O
of O O O
struggling O O O
in O O O
the O O O
face O O O
of O O O
unseen O O O
enemies. O O O
One O O O
night, O O O
asked O O O
"Still O B-FOOD O
or O O O
sparkling?," O B-FOOD O
I O O O
chose O O O
the O O O
sparkling B-FOOD B-FOOD O
water. I-FOOD I-FOOD O
My O O O
server O O O
began O O O
to O O O
walk O O O
away, O O O
then O O O
turned O O O
on O O O
his O O O
heel O O O
and O O O
said, O O O
"I'm O O O
sorry, O O O
we're O O O
all O O O
out O O O
of O O O
sparkling." O B-FOOD O
"That's O O O
fine," O O O
I O O O
said. O O O
"I'll O O O
just O O O
have O O O
the O O O
BrewDog B-DISH B-DISH O
I.P.A. I-DISH I-DISH O
instead." O O O
"I O O O
apologize," O O O
he O O O
said. O O O
"We O O O
don't O O O
have O O O
any O O O
draft O B-FOOD O
beer." B-FOOD I-FOOD O
After O O O
the O O O
main O O O
course O O O
was O O O
cleared, O O O
I O O O
asked O O O
him O O O
for O O O
the O O O
Chocolate B-DISH B-DISH O
Bluebird. I-DISH I-DISH O
"That O O O
is O O O
our O O O
signature O O O
dessert," O O O
he O O O
said. O O O
I O O O
nodded. O O O
I O O O
had O O O
read O O O
that O O O
this O O O
was O O O
a O O O
chocolate B-FOOD B-FOOD O
mousse I-FOOD I-FOOD O
inside O O O
a O O O
blue-chocolate B-FOOD B-FOOD O
shell I-FOOD I-FOOD O
in O O O
the O O O
shape O O O
of O O O
a O O O
vintage O O O
racecar O O O
once O O O
made O O O
by O O O
the O O O
Bluebird O O O
Motor O O O
Company. O O O
"Unfortunately, O O O
we O O O
do O O O
not O O O
have O O O
it O O O
tonight," O O O
he O O O
said. O O O
His O O O
courtesy O O O
went O O O
a O O O
long O O O
way. O O O
Ultimately, O O O
though, O O O
I O O O
preferred O O O
the O O O
blunt O O O
approach O O O
that O O O
one O O O
of O O O
the O O O
bartenders O O O
took O O O
with O O O
one O O O
of O O O
my O O O
guests. O O O
Looking O O O
over O O O
the O O O
long O O O
list O O O
of O O O
old O O O
and O O O
new O O O
cocktails, B-FOOD B-FOOD O
she O O O
asked O O O
the O O O
bartender O O O
which O O O
he O O O
would O O O
recommend. O O O
"If O O O
you O O O
want O O O
to O O O
drink O O O
something O O O
that O O O
tastes O O O
good," O O O
he O O O
said, O O O
"I O O O
wouldn't O O O
order O O O
anything O O O
off O O O
our O O O
menu." O O O
Follow O O O
NYT O O O
Food O O O
on O O O
Twitter O O O
and O O O
NYT O O O
Cooking O O O
on O O O
Instagram O O O
, O O O
Facebook O O O
and O O O
Pinterest O O O
. O O O
Get O O O
regular O O O
updates O O O
from O O O
NYT O O O
Cooking, O O O
with O O O
recipe O O O
suggestions, O O O
cooking O O O
tips O O O
and O O O
shopping O O O
advice O O O
. O O O
   
   
